Data,Ticker,Win Rate Previsto,Esito Reale,Profitto/Perdita %
2026-06-01 15:45:00,GOOGL,65.2%,PERSO,-3.41%
2026-06-01 15:45:00,TSLA,66.0%,PERSO,-1.67%
2026-06-02 15:45:00,GOOGL,70.9%,PERSO,0.73%
2026-06-02 15:45:00,UNH,70.6%,VINTO,3.46%
2026-06-03 15:45:00,GOOGL,85.7%,PERSO,-0.67%
2026-06-03 15:45:00,AMZN,71.1%,PERSO,-4.81%
2026-06-03 15:45:00,UNH,76.2%,VINTO,3.45%
2026-06-03 15:45:00,JNJ,66.0%,VINTO,2.63%
2026-06-03 15:45:00,COST,69.6%,PERSO,2.24%
2026-06-03 15:45:00,WMT,76.2%,PERSO,3.17%
2026-06-04 15:45:00,NVDA,68.1%,PERSO,-6.31%
2026-06-04 15:45:00,GOOGL,72.9%,PERSO,-3.82%
2026-06-04 15:45:00,AMZN,66.3%,PERSO,-4.84%
2026-06-04 15:45:00,TSLA,65.5%,PERSO,-4.61%
2026-06-04 15:45:00,COST,69.0%,PERSO,0.34%
2026-06-04 15:45:00,KO,71.2%,VINTO,2.55%
2026-06-04 15:45:00,WMT,76.4%,PERSO,2.34%
2026-06-05 15:45:00,NVDA,69.5%,PERSO,0.04%
2026-06-05 15:45:00,GOOGL,72.7%,PERSO,-2.34%
2026-06-05 15:45:00,AMZN,68.5%,PERSO,-3.04%
2026-06-05 15:45:00,AVGO,65.4%,PERSO,-0.95%
2026-06-05 15:45:00,COST,70.9%,PERSO,1.08%
2026-06-05 15:45:00,WMT,73.5%,PERSO,1.82%
2026-06-08 15:45:00,NVDA,65.4%,PERSO,-1.65%
2026-06-08 15:45:00,GOOGL,74.4%,PERSO,-1.00%
2026-06-08 15:45:00,AMZN,69.5%,PERSO,-2.72%
2026-06-08 15:45:00,COST,77.6%,PERSO,0.78%
2026-06-08 15:45:00,WMT,75.3%,PERSO,1.01%
2026-06-09 15:45:00,GOOGL,70.6%,PERSO,-1.26%
2026-06-09 15:45:00,AMZN,67.4%,PERSO,-2.31%
2026-06-09 15:45:00,CVX,70.6%,PERSO,0.25%
2026-06-09 15:45:00,COST,84.1%,PERSO,1.42%
2026-06-09 15:45:00,WMT,77.7%,PERSO,1.82%
2026-06-10 15:45:00,NVDA,70.4%,PERSO,2.38%
2026-06-10 15:45:00,GOOGL,74.2%,PERSO,0.93%
2026-06-10 15:45:00,AMZN,75.4%,PERSO,0.23%
2026-06-10 15:45:00,AVGO,66.0%,PERSO,2.68%
2026-06-10 15:45:00,COST,77.1%,PERSO,-0.10%
2026-06-10 15:45:00,WMT,71.7%,PERSO,0.37%
